English Word	Valence	Arousal	Dominance	Khmer Word
era	0.615	0.407	0.449	សម័យ
eradicate	0.260	0.690	0.686	លុបបំបាត់
eradication	0.208	0.788	0.685	ការលុបបំបាត់
erase	0.240	0.260	0.321	លុប
eraser	0.458	0.209	0.311	ជ័រលុប
erasure	0.281	0.360	0.265	លុប
ere	0.479	0.312	0.377	មែន
erect	0.643	0.885	0.627	ឡើង
erectile	0.542	0.796	0.625	ការឡើងរឹងរបស់លិង្គ
erection	0.640	0.856	0.695	ការឡើងរឹងរបស់លិង្គ
ergo	0.385	0.400	0.385	ergo
erode	0.208	0.643	0.580	សំណឹក
erosion	0.312	0.770	0.465	សំណឹក
erotic	0.625	0.946	0.683	មនោសញ្ចេតនា
erotica	0.781	0.870	0.579	erotica
err	0.146	0.660	0.236	កំហុស
errand	0.385	0.519	0.482	កិច្ចការ
errant	0.205	0.602	0.375	ខុស
erratic	0.271	0.503	0.217	ខុសប្រក្រតី
erratum	0.327	0.528	0.436	ខុស
erroneous	0.057	0.561	0.245	ខុស
error	0.094	0.559	0.198	កំហុស
erst	0.277	0.422	0.357	ដើម
erudite	0.719	0.434	0.774	ចេះដឹង
erupt	0.188	0.820	0.818	ផ្ទុះ
eruption	0.156	0.913	0.733	ការផ្ទុះ
escalade	0.480	0.724	0.442	កើនឡើង
escalate	0.653	0.714	0.728	កើនឡើង
escalating	0.646	0.724	0.518	កើនឡើង
escalation	0.571	0.807	0.582	ការកើនឡើង
escalator	0.500	0.530	0.518	ជណ្តើរយន្ត
escape	0.367	0.765	0.448	រត់គេចខ្លួន
escaped	0.365	0.755	0.518	បានរត់គេចខ្លួន
escarpment	0.406	0.553	0.470	ការរត់គេចខ្លួន
eschew	0.184	0.438	0.370	គេចចេញ
escort	0.729	0.480	0.608	អមដំណើរ
escrow	0.449	0.520	0.613	escrow
esophagus	0.429	0.454	0.464	បំពង់អាហារ
esoteric	0.500	0.676	0.545	Esoteric
especial	0.827	0.419	0.794	ពិសេស
espionage	0.312	0.750	0.620	ចារកម្ម
espouse	0.802	0.529	0.598	ប្តីប្រពន្ធ
espresso	0.677	0.620	0.508	espresso
esprit	0.552	0.431	0.407	esprit
esquire	0.604	0.542	0.518	សាកសួរ
essay	0.559	0.411	0.530	អត្ថបទ
essayist	0.656	0.460	0.462	អ្នកនិពន្ធអត្ថបទ
essence	0.663	0.369	0.575	ខ្លឹមសារ
essential	0.812	0.405	0.759	ចាំបាច់
essentially	0.750	0.373	0.802	សំខាន់
establish	0.708	0.500	0.688	បង្កើត
established	0.796	0.394	0.694	បានបង្កើតឡើង
establishment	0.690	0.398	0.631	គ្រឹះស្ថាន
estate	0.653	0.385	0.647	អចលនទ្រព្យ
esteem	0.745	0.380	0.679	ការគោរព
esteemed	0.694	0.418	0.531	ជាទីគោរព
esthetic	0.635	0.360	0.558	សោភ័ណភាព
estimable	0.796	0.408	0.630	អាចប៉ាន់ស្មានបាន។
estimate	0.719	0.469	0.517	ការប៉ាន់ប្រមាណ
estimation	0.740	0.480	0.589	ការប៉ាន់ស្មាន
estoppel	0.354	0.459	0.482	បិទផ្លូវ
estranged	0.156	0.382	0.377	ដាច់ស្រយាល។
estrogen	0.580	0.500	0.425	អេស្ត្រូសែន
estuary	0.469	0.278	0.482	មាត់ទន្លេ
etch	0.510	0.367	0.598	ឆ្លាក់
etching	0.567	0.491	0.575	etching
eternal	0.854	0.409	0.843	អស់កល្ប
eternity	0.765	0.520	0.911	ភាពអស់កល្ប
ethanol	0.333	0.410	0.534	អេតាណុល
ether	0.490	0.306	0.412	អេធើរ
ethereal	0.520	0.419	0.518	អនិច្ចា
ethic	0.786	0.260	0.791	ក្រមសីលធម៌
ethical	0.854	0.324	0.634	សីលធម៌
ethics	0.658	0.296	0.731	ក្រមសីលធម៌
ethnic	0.583	0.373	0.555	ជនជាតិ
ethnography	0.571	0.373	0.549	ជាតិពន្ធុវិទ្យា
etiology	0.500	0.385	0.639	etiology
etiquette	0.604	0.350	0.421	សីលធម៌
etymology	0.531	0.370	0.529	និរុត្តិសាស្ត្រ
eucalyptus	0.602	0.308	0.418	អេកកាលីប
euchre	0.470	0.459	0.442	យូចរេ
eugenics	0.448	0.530	0.518	អវិជ្ជា
eulogistic	0.740	0.623	0.694	រីករាយ
eulogium	0.542	0.482	0.655	អរិយធម៌
eulogize	0.850	0.518	0.679	សរសើរ
eulogy	0.625	0.443	0.667	អរុណសួស្តី
euphemism	0.418	0.453	0.491	ភាពអសុរោះ
euphoria	0.769	0.955	0.648	ភាពរីករាយ
euphoric	0.745	0.904	0.588	រីករាយ
euro	0.680	0.441	0.521	អឺរ៉ូ
euthanasia	0.229	0.716	0.325	euthanasia
evacuate	0.354	0.792	0.314	ជម្លៀស
evacuation	0.160	0.755	0.582	ការជម្លៀស
evade	0.304	0.490	0.342	គេច
evaluate	0.663	0.640	0.649	វាយតំលៃ
evaluation	0.542	0.667	0.764	ការវាយតម្លៃ
evanescence	0.527	0.519	0.458	ការគេចវេស
evangelical	0.602	0.389	0.602	ផ្សាយដំណឹងល្អ
evangelist	0.582	0.464	0.702	អ្នកផ្សាយដំណឹងល្អ
evangelistic	0.660	0.375	0.612	ផ្សាយដំណឹងល្អ
evaporate	0.357	0.469	0.402	ហួត
evaporation	0.556	0.346	0.388	ការហួត
evasion	0.229	0.510	0.418	ការគេចវេស
evasive	0.117	0.596	0.425	គេចវេស
eve	0.612	0.378	0.440	យប់
evening	0.458	0.185	0.318	ល្ងាច
evens	0.592	0.430	0.457	គូ
event	0.745	0.673	0.664	ព្រឹត្តិការណ៍
eventful	0.543	0.837	0.510	ព្រឹត្តិការណ៍
eventual	0.633	0.459	0.413	ជាយថាហេតុ
eventuality	0.469	0.627	0.527	ភាពជាយថាហេតុ
evergreen	0.729	0.471	0.546	បៃតង
everlasting	0.740	0.413	0.809	អស់កល្បជានិច្ច
evermore	0.677	0.450	0.403	ជានិច្ច
everyday	0.740	0.392	0.472	ជា​រៀងរាល់ថ្ងៃ
everyman	0.522	0.333	0.535	មនុស្សគ្រប់រូប
evict	0.042	0.632	0.377	បណ្តេញចេញ
eviction	0.185	0.731	0.455	ការបណ្តេញចេញ
evidence	0.500	0.500	0.778	ភស្តុតាង
evident	0.633	0.444	0.664	ភស្តុតាង
evidentiary	0.448	0.541	0.717	ភស្តុតាង
evil	0.040	0.827	0.545	អាក្រក់
evoke	0.438	0.341	0.500	បង្កើត
evolution	0.781	0.657	0.854	ការវិវត្តន៍
evolutionary	0.796	0.673	0.825	វិវត្តន៍
evolve	0.655	0.692	0.896	វិវត្ត
ewe	0.429	0.216	0.277	អ៊ឺ
ex	0.250	0.520	0.306	ឧ
exacerbate	0.323	0.776	0.580	ធ្វើឱ្យកាន់តែធ្ងន់ធ្ងរ
exacerbation	0.344	0.810	0.480	ភាពធ្ងន់ធ្ងរ
exact	0.719	0.354	0.685	ពិតប្រាកដ
exacting	0.448	0.673	0.767	ការ​កំណត់
exaggerate	0.193	0.760	0.529	បំផ្លើស
exaggerated	0.224	0.885	0.732	បំផ្លើស
exaggeration	0.312	0.775	0.582	ការបំផ្លើស
exalt	0.656	0.750	0.745	លើកតម្កើង
exaltation	0.594	0.892	0.673	ភាពតម្កើងឡើង
exalted	0.676	0.845	0.696	លើកតម្កើង
exam	0.479	0.663	0.577	ការប្រឡង
examination	0.378	0.657	0.679	ការពិនិត្យ
examine	0.615	0.623	0.786	ពិនិត្យមើល
examiner	0.406	0.575	0.812	អ្នកពិនិត្យ
example	0.542	0.337	0.510	ឧទាហរណ៍
exasperated	0.229	0.816	0.377	ហួសចិត្ត
exasperation	0.214	0.833	0.483	កំហឹង
excavate	0.583	0.613	0.635	ជីក
excavation	0.540	0.644	0.527	ការជីកកកាយ
excavator	0.427	0.673	0.649	អេស្កាវ៉ាទ័រ
exceed	0.500	0.827	0.586	លើស
exceeding	0.500	0.802	0.668	លើស
excel	0.561	0.363	0.466	excel
excellence	0.958	0.620	0.907	ឧត្តមភាព
excellent	0.970	0.587	0.870	ល្អឥតខ្ចោះ
excelsior	0.700	0.625	0.611	ពូកែ
excepting	0.408	0.413	0.526	លើកលែង
exception	0.469	0.600	0.544	ករណី​លើកលែង
exceptional	0.806	0.740	0.933	ពិសេស
excerpt	0.437	0.367	0.543	ដកស្រង់
excess	0.385	0.889	0.712	លើស
excessive	0.417	0.731	0.601	លើស
excessively	0.449	0.882	0.716	ហួសហេតុ
exchange	0.740	0.569	0.491	ការដោះដូរ
excise	0.448	0.561	0.577	ពន្ធ
excision	0.260	0.480	0.519	ការកាត់ចេញ
excitability	0.906	0.910	0.724	ភាពរំភើប
excitable	0.803	0.939	0.629	គួរឱ្យរំភើប
excitation	0.792	0.958	0.750	ការរំភើបចិត្ត
excite	0.823	0.950	0.668	រំភើប
excited	0.908	0.931	0.709	រំភើប
excitement	0.896	0.684	0.731	រំភើប
exciting	0.950	0.792	0.789	គួរឱ្យរំភើប
exclaim	0.635	0.711	0.639	ឧទាន
exclamation	0.612	0.745	0.598	ឧទាន
exclude	0.292	0.500	0.530	ដកចេញ
excluded	0.061	0.540	0.134	មិន​រាប់បញ្ចូល
excluding	0.271	0.550	0.324	ដោយមិនរាប់បញ្ចូល
exclusion	0.240	0.530	0.389	ការលើកលែង
exclusive	0.792	0.630	0.653	ផ្តាច់មុខ
excrement	0.041	0.558	0.221	ការបញ្ចេញចោល
excretion	0.285	0.650	0.457	ការបញ្ចេញចោល
excruciating	0.083	0.837	0.345	រំភើបចិត្ត
excursion	0.625	0.714	0.627	ដំណើរកំសាន្ត
excuse	0.240	0.696	0.318	លេស
exec	0.640	0.352	0.769	ប្រតិបត្តិករ
execute	0.327	0.708	0.769	ប្រតិបត្តិ
execution	0.160	0.811	0.713	ការប្រតិបត្តិ
executioner	0.235	0.816	0.676	ពេជ្ឈឃាត
executive	0.704	0.449	0.894	នាយកប្រតិបត្តិ
executor	0.365	0.755	0.759	ប្រតិបត្តិករ
exegesis	0.458	0.472	0.491	exegesis
exemplar	0.844	0.537	0.625	គំរូ
exemplary	0.833	0.343	0.729	គំរូ
exemplify	0.735	0.506	0.783	ជាឧទាហរណ៍
exempt	0.588	0.455	0.664	ការលើកលែង
exemption	0.531	0.578	0.627	ការលើកលែង
exercise	0.750	0.789	0.625	លំហាត់ប្រាណ
exert	0.694	0.735	0.806	ខំប្រឹង
exertion	0.663	0.755	0.717	ការប្រឹងប្រែង
exhale	0.542	0.490	0.411	ដកដង្ហើមចេញ
exhaust	0.546	0.710	0.337	ហត់នឿយ
exhausted	0.123	0.423	0.202	អស់កម្លាំង
exhaustion	0.366	0.633	0.269	អស់កម្លាំង
exhaustive	0.388	0.635	0.604	ហត់នឿយ
exhibit	0.688	0.633	0.708	ពិព័រណ៍
exhibition	0.698	0.590	0.531	ពិព័រណ៍
exhilarated	0.890	0.963	0.759	រំភើបចិត្ត
exhilarating	0.917	0.823	0.810	រំភើបចិត្ត
exhilaration	0.792	0.868	0.783	ការរំភើបចិត្ត
exhort	0.378	0.660	0.745	ដាស់តឿន
exhortation	0.531	0.624	0.580	ការដាស់តឿន
exhumation	0.177	0.586	0.473	ការដកខ្លួនចេញ
exhume	0.184	0.627	0.452	exhume
exigent	0.385	0.611	0.792	exigent
exile	0.184	0.630	0.483	និរទេសខ្លួន
exist	0.857	0.421	0.788	មាន
existence	0.760	0.513	0.771	អត្ថិភាព
existent	0.635	0.490	0.635	មាន
existential	0.583	0.510	0.638	អត្ថិភាព
existing	0.802	0.344	0.750	ដែលមានស្រាប់
exit	0.370	0.353	0.399	ចេញ
exodus	0.286	0.663	0.567	និក្ខមនំ
exonerate	0.592	0.500	0.538	លើកលែងទោស
exorbitant	0.398	0.865	0.825	ហួសហេតុ
exorcism	0.163	0.980	0.557	exorcism
exorcist	0.219	0.906	0.716	exorcist
exotic	0.840	0.711	0.727	កម្រនិងអសកម្ម
expand	0.792	0.559	0.686	ពង្រីក
expanded	0.760	0.406	0.689	បានពង្រីក
expanse	0.594	0.529	0.689	ពង្រីក
expansion	0.776	0.618	0.787	ការពង្រីក
expansive	0.708	0.650	0.778	ថ្លៃ
expatriate	0.265	0.764	0.391	ជនបរទេស
expect	0.469	0.327	0.377	រំពឹង
expectance	0.552	0.724	0.660	ការរំពឹងទុក
expectancy	0.581	0.622	0.558	ការរំពឹងទុក
expectant	0.708	0.650	0.474	រំពឹង
expectation	0.771	0.690	0.707	ការរំពឹងទុក
expected	0.729	0.412	0.545	រំពឹងទុក
expecting	0.561	0.450	0.302	រំពឹង
expediency	0.604	0.443	0.703	ភាពរហ័សរហួន
expedient	0.885	0.461	0.454	សមរម្យ
expedite	0.571	0.858	0.798	ពន្លឿន
expedition	0.735	0.802	0.620	បេសកកម្ម
expeditious	0.602	0.645	0.773	លឿន
expel	0.281	0.725	0.452	បណ្តេញចេញ
expendable	0.479	0.490	0.423	អាច​ចំណាយ​បាន។
expenditure	0.250	0.608	0.603	ការចំណាយ
expense	0.317	0.451	0.377	ចំណាយ
expenses	0.240	0.633	0.396	ការចំណាយ
expensive	0.323	0.540	0.530	ថ្លៃ
experience	0.827	0.618	0.905	បទពិសោធន៍
experienced	0.771	0.613	0.914	មានបទពិសោធន៍
experiences	0.793	0.647	0.795	បទពិសោធន៍
experiment	0.479	0.720	0.675	ពិសោធន៍
experimental	0.417	0.764	0.396	ពិសោធន៍
experimentation	0.637	0.769	0.767	ការពិសោធន៍
experimenter	0.708	0.710	0.700	អ្នកពិសោធន៍
expert	0.776	0.646	0.911	អ្នកជំនាញ
expertise	0.792	0.589	0.925	ជំនាញ
expiration	0.265	0.539	0.463	ការផុតកំណត់
expire	0.573	0.745	0.702	ផុតកំណត់
expired	0.198	0.394	0.200	ផុតកំណត់
expiry	0.194	0.434	0.382	ផុតកំណត់
explain	0.719	0.517	0.736	ពន្យល់
explanation	0.615	0.610	0.825	ការពន្យល់
explanatory	0.573	0.433	0.688	ពន្យល់
expletive	0.357	0.567	0.536	ពន្យល់
explication	0.510	0.445	0.602	ការពន្យល់
explicit	0.562	0.694	0.734	ច្បាស់លាស់
explode	0.277	0.885	0.773	ផ្ទុះ
exploit	0.312	0.878	0.660	កេងប្រវ័ញ្ច
exploitation	0.156	0.920	0.718	ការកេងប្រវ័ញ្ច
exploration	0.594	0.650	0.773	ការរុករក
exploratory	0.653	0.690	0.698	ការរុករក
explore	0.776	0.660	0.727	រុករក
explorer	0.729	0.663	0.714	អ្នករុករក
explosion	0.167	0.960	0.767	ការផ្ទុះ
explosions	0.123	0.860	0.594	ការផ្ទុះ
explosive	0.156	0.943	0.663	ផ្ទុះ
expo	0.610	0.562	0.500	ពិព័រណ៍
exponent	0.529	0.510	0.845	និទស្សន្ត
exponential	0.704	0.588	0.763	អិចស្ប៉ូណង់ស្យែល
export	0.567	0.661	0.755	នាំចេញ
exportation	0.760	0.633	0.673	ការនាំចេញ
expose	0.344	0.643	0.537	លាតត្រដាង
exposed	0.471	0.661	0.509	លាតត្រដាង
exposition	0.521	0.627	0.655	ការបង្ហាញ
expository	0.706	0.653	0.636	កន្លែងបង្ហាញ
exposure	0.570	0.830	0.630	ការប៉ះពាល់
expound	0.438	0.575	0.740	ពន្យល់
express	0.760	0.623	0.691	បង្ហាញ
expression	0.790	0.650	0.721	កន្សោម
expressive	0.755	0.724	0.685	បញ្ចេញមតិ
expressway	0.633	0.635	0.587	ផ្លូវល្បឿនលឿន
expropriation	0.188	0.735	0.788	ការដកហូត
expulsion	0.190	0.790	0.529	ការបណ្តេញចេញ
exquisite	0.892	0.644	0.604	អស្ចារ្យ
exquisitely	0.849	0.728	0.723	យ៉ាងអស្ចារ្យ
extant	0.646	0.390	0.523	extant
extend	0.646	0.570	0.689	ពង្រីក
extendable	0.660	0.592	0.722	អាចពង្រីកបាន។
extended	0.570	0.304	0.649	ពង្រីក
extension	0.490	0.510	0.529	ផ្នែកបន្ថែម
extensive	0.635	0.520	0.760	ទូលំទូលាយ
extent	0.646	0.451	0.602	វិសាលភាព
exterior	0.542	0.400	0.627	ខាងក្រៅ
exterminate	0.177	0.857	0.736	សម្លាប់ចោល
extermination	0.190	0.860	0.616	ការសម្លាប់រង្គាល។
exterminator	0.344	0.804	0.887	អ្នកសម្លាប់
external	0.479	0.341	0.509	ខាងក្រៅ
externally	0.643	0.521	0.568	ខាងក្រៅ
extinct	0.112	0.491	0.412	ផុតពូជ
extinction	0.104	0.750	0.611	ការផុតពូជ
extinguish	0.240	0.576	0.482	ពន្លត់
extinguisher	0.707	0.379	0.543	ឧបករណ៍ពន្លត់អគ្គីភ័យ
extol	0.582	0.667	0.456	ឧទ្ទេសនាម
extort	0.052	0.827	0.570	ជំរិត
extortion	0.112	0.868	0.630	ការជំរិតទារប្រាក់
extra	0.656	0.551	0.745	បន្ថែម
extract	0.565	0.402	0.519	ស្រង់ចេញ
extracting	0.521	0.709	0.689	ការស្រង់ចេញ
extraction	0.418	0.740	0.526	ការស្រង់ចេញ
extractor	0.302	0.536	0.519	ឧបករណ៍ស្រង់ចេញ
extracurricular	0.457	0.471	0.743	កម្មវិធីសិក្សាក្រៅម៉ោង
extradition	0.229	0.627	0.554	បត្យាប័ន
extrajudicial	0.365	0.686	0.667	ក្រៅប្រព័ន្ធតុលាការ
extramural	0.336	0.559	0.537	ក្រៅប្រព័ន្ធ
extraneous	0.276	0.625	0.478	ខាងក្រៅ
extraordinaire	0.847	0.864	0.898	អស្ចារ្យ
extraordinary	0.969	0.728	0.860	មិនធម្មតា
extraterrestrial	0.510	0.833	0.792	ភពក្រៅ
extravagance	0.531	0.802	0.700	ហួសហេតុ
extravagant	0.720	0.763	0.812	ហួសហេតុ
extravaganza	0.646	0.786	0.906	extravaganza
extreme	0.318	0.800	0.721	ខ្លាំង
extreme anticipation	0.551	0.740	0.704	ការរំពឹងទុកយ៉ាងខ្លាំង
extreme disgust	0.052	0.873	0.456	ស្អប់ខ្ពើមខ្លាំង
extreme surprise	0.833	0.935	0.676	ការភ្ញាក់ផ្អើលយ៉ាងខ្លាំង
extreme trust	0.826	0.713	0.922	ទំនុកចិត្តខ្លាំង
extremely	0.635	0.827	0.886	យ៉ាងខ្លាំង
extremely negative	0.030	0.786	0.311	អវិជ្ជមានខ្លាំង
extremely positive	0.993	0.730	0.839	វិជ្ជមានខ្លាំង
extremity	0.408	0.588	0.583	ចុង
extricate	0.542	0.510	0.543	extricate
extrinsic	0.510	0.479	0.636	ខាងក្រៅ
extrusion	0.229	0.660	0.545	ការបន្ថែម
exuberance	0.698	0.816	0.787	ភាពរុងរឿង
exude	0.375	0.519	0.411	បញ្ចេញ
eye	0.531	0.265	0.425	ភ្នែក
eyeball	0.526	0.422	0.420	គ្រាប់ភ្នែក
eyebrow	0.510	0.198	0.222	ចិញ្ចើម
eyeful	0.802	0.500	0.676	ភ្នែក
eyeglass	0.531	0.236	0.286	កែវភ្នែក
eyeglasses	0.561	0.269	0.306	វ៉ែនតា
eyelash	0.480	0.250	0.278	រោមភ្នែក
eyelet	0.632	0.298	0.346	រោមភ្នែក
eyeliner	0.688	0.349	0.347	ត្របកភ្នែក
eyepiece	0.418	0.347	0.480	កែវភ្នែក
eyes	0.760	0.279	0.432	ភ្នែក
eyesight	0.750	0.226	0.343	ភ្នែក
eyewitness	0.541	0.686	0.698	សាក្សី
fab	0.490	0.380	0.406	ហ្វា
fable	0.663	0.387	0.389	រឿងនិទាន
fabled	0.625	0.538	0.545	រឿងព្រេងនិទាន
fabric	0.635	0.190	0.345	ក្រណាត់
fabricate	0.636	0.491	0.779	ប្រឌិត
fabricated	0.418	0.427	0.555	ប្រឌិត
fabrication	0.573	0.587	0.705	ការប្រឌិត
fabulous	0.979	0.660	0.797	អស្ចារ្យ
facade	0.520	0.333	0.518	facade
face	0.571	0.173	0.453	មុខ
faceless	0.230	0.406	0.173	គ្មានមុខ
facet	0.667	0.324	0.382	មុខ
facial	0.594	0.429	0.433	មុខ
facile	0.740	0.264	0.307	ងាយស្រួល
facilitate	0.812	0.333	0.509	សម្រួល
facility	0.625	0.500	0.654	គ្រឿងបរិក្ខារ
facing	0.604	0.406	0.550	ប្រឈមមុខ
facsimile	0.490	0.500	0.543	ទូរសារ
fact	0.683	0.333	0.618	ការពិត
faction	0.469	0.430	0.448	បក្សពួក
factor	0.635	0.365	0.678	កត្តា
factory	0.500	0.500	0.683	រោងចក្រ
facts	0.688	0.471	0.693	អង្គហេតុ
factual	0.656	0.440	0.545	ការពិត
faculties	0.643	0.431	0.760	មហាវិទ្យាល័យ
faculty	0.615	0.412	0.732	មហាវិទ្យាល័យ
fad	0.663	0.520	0.570	fad
fade	0.354	0.333	0.245	រសាត់
faded	0.302	0.275	0.194	រសាត់
faeces	0.184	0.476	0.175	លាមក
fag	0.122	0.653	0.331	ហ្វាក
faggot	0.219	0.643	0.292	fagot
fail	0.177	0.578	0.154	បរាជ័យ
failing	0.125	0.490	0.268	បរាជ័យ
failure	0.167	0.575	0.139	បរាជ័យ
fain	0.479	0.417	0.426	សន្លប់
faint	0.063	0.429	0.167	ដួលសន្លប់
fainting	0.333	0.510	0.214	ដួលសន្លប់
fair	0.812	0.557	0.643	យុត្តិធម៌
fairly	0.790	0.406	0.750	ស្មើភាព
fairness	0.740	0.317	0.552	យុត្តិធម៌
fairway	0.541	0.510	0.500	ផ្លូវយុត្តិធម៌
fairy	0.776	0.408	0.413	ទេពអប្សរ
faith	0.833	0.220	0.763	ជំនឿ
faithful	0.888	0.333	0.627	ស្មោះត្រង់
faithfulness	0.833	0.426	0.602	ភាពស្មោះត្រង់
faithless	0.102	0.683	0.304	គ្មានជំនឿ
fake	0.073	0.554	0.268	ក្លែងក្លាយ
faker	0.245	0.630	0.480	អ្នកក្លែងបន្លំ
falafel	0.560	0.402	0.351	ហ្វាឡាហ្វែល
falcon	0.557	0.580	0.678	សត្វស្លាប
fall	0.177	0.657	0.221	ធ្លាក់
fallacious	0.271	0.587	0.390	ភូតភរ
fallacy	0.112	0.561	0.430	ភាពមិនពិត
fallback	0.458	0.358	0.508	ធ្លាក់​ចុះ​មក​វិញ
fallible	0.365	0.537	0.402	ធ្លាក់ចុះ
falling	0.202	0.716	0.306	ធ្លាក់
fallopian	0.297	0.390	0.464	ពងកូន
fallout	0.428	0.356	0.373	ជ្រុះ
fallow	0.375	0.368	0.464	ទំនាប
false	0.120	0.404	0.240	មិនពិត
falsehood	0.031	0.625	0.384	ភាពមិនពិត
falsely	0.083	0.480	0.265	ក្លែងបន្លំ
falsification	0.173	0.720	0.490	ការក្លែងបន្លំ
falsified	0.042	0.630	0.306	ក្លែងបន្លំ
falsify	0.115	0.657	0.409	ក្លែងបន្លំ
falsity	0.120	0.689	0.186	ភាពមិនពិត
falter	0.421	0.650	0.346	ដួល
fame	0.896	0.755	0.852	កិត្តិនាម
famed	0.878	0.750	0.819	ល្បីល្បាញ
familiar	0.906	0.330	0.615	ធ្លាប់ស្គាល់
familiarity	0.854	0.346	0.616	ភាពស្គាល់គ្នា។
familiarize	0.760	0.365	0.654	ស្គាល់
family	0.968	0.383	0.643	គ្រួសារ
familytime	0.939	0.420	0.679	ពេល​វេលា​គ្រួសារ
famine	0.163	0.679	0.310	ទុរ្ភិក្ស
famished	0.177	0.654	0.282	ឃ្លាន
famous	0.916	0.775	0.882	ល្បី
famously	0.856	0.765	0.787	ល្បីល្បាញ
fan	0.781	0.429	0.357	អ្នកគាំទ្រ
fanatic	0.573	0.780	0.629	និយម
fanatical	0.555	0.830	0.714	និយមជ្រុល
fanaticism	0.292	0.896	0.566	និយមជ្រុល
fanciful	0.677	0.592	0.342	ស្រមើស្រមៃ
fancy	0.854	0.673	0.534	ពុម្ពអក្សរក្បូរក្បាច់
fandango	0.490	0.591	0.429	fandango
fanfare	0.656	0.640	0.437	អ្នកគាំទ្រ
fang	0.175	0.491	0.455	ហ្វាង
fangs	0.286	0.598	0.434	ចង្កូម
fanning	0.615	0.330	0.236	fanning
fantasia	0.898	0.694	0.436	Fantasia
fantasize	0.771	0.660	0.356	ស្រមើស្រមៃ
fantastic	0.969	0.696	0.831	អស្ចារ្យ
fantasy	0.880	0.627	0.474	រវើរវាយ
faraway	0.365	0.356	0.285	ឆ្ងាយ
farce	0.265	0.667	0.246	farce
farcical	0.406	0.481	0.259	ជ្រុលនិយម
fare	0.490	0.425	0.645	ថ្លៃឈ្នួល
farewell	0.130	0.500	0.591	លា
farm	0.781	0.327	0.297	កសិដ្ឋាន
farmer	0.677	0.432	0.464	កសិករ
farmhouse	0.690	0.330	0.444	កសិដ្ឋាន
farming	0.580	0.414	0.568	កសិកម្ម
farmland	0.729	0.363	0.509	ដីស្រែចម្ការ
faro	0.544	0.349	0.357	ហ្វារ៉ូ
fart	0.194	0.439	0.264	ផ្លុំ
farther	0.418	0.500	0.430	ឆ្ងាយ
fascia	0.480	0.366	0.356	fascia
fascinate	0.854	0.683	0.802	គួរឱ្យចាប់អារម្មណ៍
fascinated	0.812	0.714	0.788	ចាប់អារម្មណ៍
fascinating	0.979	0.817	0.784	គួរឱ្យចាប់អារម្មណ៍
fascination	0.885	0.773	0.835	គួរឱ្យចាប់អារម្មណ៍
fascism	0.104	0.740	0.695	ហ្វាស៊ីសនិយម
fascist	0.200	0.755	0.527	ហ្វាស៊ីស
fashion	0.827	0.616	0.589	ម៉ូដ
fashionable	0.750	0.510	0.605	ម៉ូត
fastball	0.688	0.679	0.575	បាល់លឿន
fasten	0.458	0.585	0.529	តោង
fastener	0.577	0.377	0.491	ឧបករណ៍ភ្ជាប់
fastening	0.594	0.473	0.554	ការតោង
fasting	0.388	0.370	0.394	ការតមអាហារ
fat	0.198	0.353	0.237	ខ្លាញ់
fatal	0.061	0.775	0.509	ស្លាប់
fatalism	0.208	0.694	0.631	ការស្លាប់
fatality	0.062	0.798	0.595	ការស្លាប់
fate	0.571	0.479	0.712	វាសនា
fated	0.582	0.472	0.692	វាសនា
fateful	0.290	0.583	0.402	វាសនា
fathead	0.296	0.527	0.463	ក្បាលធាត់
father	0.812	0.333	0.824	ឪពុក
fatherhood	0.885	0.519	0.682	ភាពជាឪពុក
fatherland	0.729	0.469	0.778	មាតុភូមិ
fatherly	0.865	0.363	0.712	ឪពុក
fathom	0.520	0.410	0.523	យល់
fatigue	0.173	0.378	0.265	អស់កម្លាំង
fatigued	0.146	0.433	0.245	អស់កម្លាំង
fatso	0.286	0.394	0.336	ខ្លាញ់សូ
fatten	0.375	0.549	0.363	ធាត់
fatty	0.286	0.361	0.325	ខ្លាញ់
faucet	0.427	0.278	0.356	faucet
fault	0.188	0.558	0.184	កំហុស
faultless	0.792	0.500	0.741	គ្មានកំហុស
faulty	0.184	0.520	0.378	កំហុស
faun	0.490	0.303	0.376	faun
fauna	0.646	0.346	0.404	សត្វ
faux	0.291	0.490	0.204	ក្លែងក្លាយ
favor	0.812	0.308	0.519	អនុគ្រោះ
favorable	0.952	0.380	0.788	អំណោយផល
favorite	0.885	0.590	0.691	សំណព្វ
favoriteholiday	0.867	0.618	0.582	ថ្ងៃឈប់សម្រាកសំណព្វ
favoritism	0.582	0.559	0.658	បក្សនិយម
fawn	0.626	0.360	0.284	ក្អែក
fax	0.406	0.368	0.304	ទូរសារ
faze	0.417	0.515	0.382	faze
fear	0.073	0.840	0.293	ការភ័យខ្លាច
feared	0.240	0.733	0.509	ភ័យខ្លាច
fearful	0.083	0.482	0.278	គួរឱ្យភ័យខ្លាច
fearfully	0.112	0.567	0.271	ដោយភ័យខ្លាច
fearing	0.125	0.566	0.256	ការភ័យខ្លាច
fearless	0.810	0.806	0.760	គ្មានការភ័យខ្លាច
fears	0.061	0.821	0.306	ការភ័យខ្លាច
fearsome	0.115	0.900	0.586	គួរឱ្យខ្លាច
feasibility	0.653	0.490	0.741	លទ្ធភាព
