English Word	Valence	Arousal	Dominance	Gujarati Word
breakaway	0.479	0.802	0.519	જતું રહેવું
breakdown	0.365	0.423	0.361	ભંગાણ
breaker	0.323	0.527	0.520	તોડનાર
breakers	0.469	0.588	0.439	બ્રેકર્સ
breakfast	0.885	0.330	0.429	નાસ્તો
breaking and entering	0.418	0.729	0.500	તોડવું અને પ્રવેશવું
breakingnews	0.500	0.552	0.607	તાજા સમાચાર
breakneck	0.254	0.833	0.604	ખતરનાક
breakthrough	0.680	0.525	0.718	પ્રગતિ
breakup	0.250	0.720	0.357	છુટુ થવું
breast	0.753	0.429	0.500	છાતી
breath	0.684	0.392	0.451	શ્વાસ
breathe	0.833	0.373	0.518	શ્વાસ લો
breather	0.624	0.471	0.388	શ્વાસ
breathless	0.323	0.490	0.222	શ્વાસ વગરનું
breathtaking	0.936	0.792	0.921	આકર્ષક
breech	0.500	0.637	0.422	બ્રીચ
breeches	0.365	0.457	0.333	બ્રીચેસ
breed	0.490	0.441	0.578	જાતિ
breeder	0.645	0.481	0.605	સંવર્ધક
breeding	0.667	0.481	0.610	સંવર્ધન
breeze	0.837	0.284	0.370	પવન
breezy	0.531	0.472	0.482	હવાદાર
brethren	0.917	0.380	0.641	ભાઈઓ
breve	0.535	0.365	0.191	બ્રેવ
brevity	0.459	0.434	0.375	સંક્ષિપ્તતા
brew	0.740	0.538	0.758	ઉકાળો
brewery	0.710	0.622	0.510	દારૂની ભઠ્ઠી
brewing	0.740	0.593	0.609	ઉકાળવું
briar	0.493	0.375	0.407	બ્રાયર
bribe	0.112	0.690	0.472	લાંચ
bribery	0.135	0.775	0.585	લાંચ
brick	0.217	0.418	0.368	ઈંટ
bridal	0.823	0.655	0.596	વરરાજા
bride	0.840	0.708	0.579	કન્યા
bridegroom	0.809	0.736	0.527	વરરાજા
bridesmaid	0.748	0.519	0.618	અપરિણીત સાહેલી
bridge	0.625	0.324	0.519	પુલ
bridle	0.427	0.367	0.386	લગામ
brief	0.469	0.300	0.279	સંક્ષિપ્ત
briefcase	0.542	0.206	0.442	બ્રીફકેસ
briefing	0.612	0.333	0.702	બ્રીફિંગ
briefly	0.686	0.314	0.330	ટૂંકમાં
brig	0.573	0.539	0.500	બ્રિગેડ
brigade	0.604	0.710	0.828	બ્રિગેડ
bright	0.890	0.527	0.812	તેજસ્વી
brighten	0.760	0.547	0.649	તેજસ્વી
brightens	0.771	0.611	0.613	તેજ કરે છે
brighter	0.918	0.698	0.833	તેજસ્વી
brightness	0.938	0.623	0.660	તેજ
brilliance	0.990	0.673	0.830	દીપ્તિ
brilliant	0.939	0.575	0.923	તેજસ્વી
brim	0.469	0.333	0.330	કાંઠો
brimming	0.656	0.690	0.758	ભરપૂર
brimstone	0.357	0.520	0.440	ગંધક
brine	0.333	0.481	0.361	ખારા
bring	0.635	0.460	0.462	લાવો
brink	0.375	0.413	0.356	અણી
brisk	0.719	0.745	0.742	ઝડપી
brisket	0.552	0.378	0.222	બ્રિસ્કેટ
bristle	0.375	0.375	0.326	બરછટ
brittle	0.276	0.490	0.272	બરડ
bro	0.794	0.349	0.684	ભાઈ
broach	0.438	0.439	0.675	બ્રોચ
broad	0.762	0.365	0.637	વ્યાપક
broadcast	0.615	0.587	0.355	પ્રસારણ
broadcasting	0.542	0.700	0.706	પ્રસારણ
broaden	0.678	0.602	0.610	વિસ્તૃત
broadside	0.459	0.316	0.462	બ્રોડસાઇડ
broadsword	0.469	0.573	0.615	બ્રોડવર્ડ
brocade	0.500	0.327	0.464	બ્રોકેડ
broccoli	0.469	0.200	0.283	બ્રોકોલી
brochure	0.552	0.226	0.391	પુસ્તિકા
broil	0.510	0.404	0.330	ઝઘડો
broke	0.245	0.590	0.370	તૂટી
broken	0.062	0.500	0.293	તૂટેલા
brokenheart	0.115	0.577	0.343	તૂટેલા હૃદય
brokenhearted	0.130	0.598	0.227	તુટેલા દિલે
broker	0.582	0.462	0.600	દલાલ
brokerage	0.479	0.500	0.500	દલાલી
bromide	0.347	0.425	0.411	બ્રોમાઇડ
bronco	0.500	0.510	0.473	બ્રોન્કો
bronze	0.622	0.333	0.526	કાંસ્ય
brooch	0.531	0.260	0.380	બ્રોચ
brood	0.633	0.519	0.434	વંશ
brooding	0.327	0.367	0.333	ઉછેર
brook	0.594	0.347	0.412	ઝરણું
broom	0.385	0.154	0.302	સાવરણી
broomstick	0.410	0.265	0.227	સાવરણી
broth	0.500	0.245	0.168	સૂપ
brothel	0.255	0.886	0.418	વેશ્યાલય
brother	0.823	0.361	0.546	ભાઈ
brotherhood	0.990	0.471	0.760	ભાઈચારો
brotherly	0.865	0.306	0.596	ભાઈબંધ
brow	0.562	0.311	0.481	કપાળ
brown	0.396	0.202	0.293	ભુરો
brownstone	0.559	0.423	0.439	બ્રાઉનસ્ટોન
browse	0.635	0.750	0.592	બ્રાઉઝ કરો
brrr	0.373	0.540	0.282	brrr
bruise	0.133	0.640	0.474	ઉઝરડો
bruising	0.084	0.520	0.422	ઉઝરડા
brunch	0.406	0.363	0.343	બ્રંચ
brunette	0.802	0.528	0.529	શ્યામા
brunt	0.204	0.750	0.349	માર
brush	0.490	0.265	0.186	બ્રશ
brutal	0.122	0.882	0.643	ઘાતકી
brutality	0.122	0.832	0.571	નિર્દયતા
brute	0.115	0.547	0.379	જડ
brutish	0.270	0.837	0.588	પાશવી
bubble	0.774	0.213	0.364	બબલ
bubbling	0.500	0.438	0.384	પરપોટા
bubbly	0.698	0.608	0.462	બબલી
bubonic	0.280	0.530	0.394	બ્યુબોનિક
buck	0.677	0.577	0.720	હરણ
buckaroo	0.448	0.469	0.479	બકારૂ
bucket	0.408	0.167	0.336	ડોલ
buckle	0.416	0.373	0.361	બકલ
buckled	0.427	0.358	0.439	બકલ્ડ
bucko	0.439	0.455	0.465	બકો
buckshot	0.255	0.740	0.322	બકશોટ
buckwheat	0.490	0.471	0.434	બિયાં સાથેનો દાણો
bud	0.460	0.402	0.333	કળી
buddha	0.690	0.198	0.604	બુદ્ધ
buddhism	0.510	0.115	0.673	બૌદ્ધ ધર્મ
budding	0.490	0.500	0.355	ઉભરતા
buddy	0.884	0.585	0.655	મિત્ર
budge	0.719	0.755	0.543	બજ
budget	0.643	0.396	0.731	બજેટ
buff	0.561	0.425	0.361	બફ
buffalo	0.469	0.528	0.527	ભેંસ
buffer	0.520	0.474	0.350	બફર
buffering	0.479	0.468	0.381	બફરિંગ
buffet	0.656	0.546	0.519	ખાનપાનગૃહ
buffoon	0.344	0.651	0.290	બફૂન
bug	0.286	0.500	0.246	ભૂલ
bugaboo	0.439	0.491	0.441	બગાબૂ
bugged	0.561	0.439	0.500	બગડ
bugger	0.312	0.627	0.474	બગર
buggy	0.500	0.509	0.327	બગડેલ
bugle	0.479	0.588	0.391	બ્યુગલ
bugler	0.542	0.540	0.393	બગલર
build	0.771	0.546	0.806	બિલ્ડ
builder	0.660	0.642	0.701	બિલ્ડર
building	0.705	0.288	0.673	મકાન
buildings	0.582	0.380	0.552	ઇમારતો
buildup	0.490	0.509	0.623	બાંધવું
bulb	0.562	0.208	0.300	બલ્બ
bulbous	0.390	0.442	0.430	બલ્બસ
bulge	0.260	0.487	0.400	મણકા
bulimic	0.092	0.570	0.373	બુલિમિક
bulk	0.469	0.413	0.509	બલ્ક
bulkhead	0.312	0.425	0.402	બલ્કહેડ
bulky	0.427	0.591	0.750	વિશાળ
bull	0.521	0.640	0.644	બળદ
bulldog	0.494	0.650	0.530	બુલડોગ
bulldozer	0.459	0.549	0.643	બુલડોઝર
bullet	0.408	0.794	0.634	ગોળી
bulletin	0.573	0.294	0.361	બુલેટિન
bulletproof	0.750	0.721	0.779	બુલેટપ્રૂફ
bullfighter	0.448	0.794	0.664	બુલફાઇટર
bullfrog	0.344	0.481	0.422	બુલફ્રોગ
bullheaded	0.229	0.740	0.516	બુલહેડ્ડ
bullhorn	0.510	0.653	0.736	બુલહોર્ન
bullion	0.693	0.558	0.729	બુલિયન
bullock	0.281	0.402	0.375	બળદ
bullpen	0.480	0.549	0.500	બુલપેન
bullshit	0.042	0.676	0.183	વાહિયાત
bully	0.257	0.755	0.564	દાદાગીરી
bulwark	0.551	0.552	0.675	બંધ
bum	0.281	0.451	0.155	બમ
bumblebee	0.469	0.493	0.321	ભમર
bummed	0.296	0.430	0.227	બમડ
bummer	0.163	0.500	0.267	બમર
bump	0.286	0.458	0.368	બમ્પ
bumper	0.385	0.573	0.518	બમ્પર
bumpy	0.306	0.683	0.419	ખાડાટેકરાવાળું
bun	0.424	0.306	0.268	બન
bunch	0.552	0.358	0.473	ટોળું
bundle	0.510	0.343	0.434	બંડલ
bungalow	0.562	0.352	0.406	બંગલો
bungee	0.637	0.545	0.327	બંજી
bunghole	0.286	0.426	0.396	બંગહોલ
bunion	0.276	0.340	0.290	પાદાંગુષ્ઠ
bunk	0.438	0.332	0.339	નાસી જવું
bunker	0.375	0.673	0.773	બંકર
bunkhouse	0.470	0.414	0.407	બંકહાઉસ
bunny	0.740	0.325	0.194	બન્ની
bunt	0.417	0.422	0.349	બંટ
buoy	0.562	0.280	0.284	બોય
buoyancy	0.625	0.373	0.538	ઉત્સાહ
buoyant	0.625	0.441	0.497	ઉત્સાહી
bur	0.385	0.353	0.314	બર
burden	0.367	0.583	0.697	બોજ
burdened	0.429	0.519	0.565	બોજો
burdensome	0.229	0.696	0.419	બોજારૂપ
bureau	0.562	0.373	0.618	બ્યુરો
bureaucracy	0.380	0.578	0.740	અમલદારશાહી
bureaucrat	0.208	0.519	0.598	અમલદાર
bureaucratic	0.280	0.630	0.573	અમલદારશાહી
burger	0.688	0.568	0.398	બર્ગર
burglar	0.050	0.769	0.404	ચોર
burglary	0.146	0.918	0.543	ઘરફોડ ચોરી
burial	0.203	0.577	0.333	દફન
buried	0.133	0.530	0.370	દફનાવવામાં આવેલ
burke	0.466	0.441	0.451	બર્ક
burlap	0.429	0.462	0.411	બરલેપ
burlesque	0.327	0.615	0.343	બર્લેસ્ક
burly	0.562	0.650	0.750	બરલી
burn	0.219	0.783	0.509	બર્ન
burned	0.163	0.603	0.347	સળગાવી
burner	0.296	0.816	0.446	બર્નર
burning	0.229	0.760	0.412	બર્નિંગ
burnished	0.520	0.580	0.464	બળી ગયેલું
burnout	0.219	0.445	0.240	બળી જવુ
burnt	0.082	0.713	0.356	બળી ગયેલું
burp	0.219	0.594	0.432	ઓડકાર
burr	0.390	0.426	0.308	બર
burrito	0.688	0.294	0.166	બ્યુરિટો
burro	0.400	0.356	0.318	બુરો
burrow	0.438	0.280	0.355	ખાડો
bursary	0.729	0.462	0.571	શિષ્યવૃત્તિ
burst	0.156	0.894	0.845	વિસ્ફોટ
bury	0.077	0.571	0.346	દફનાવી
bus	0.407	0.411	0.400	બસ
busboy	0.510	0.453	0.441	બસબોય
bush	0.413	0.220	0.315	ઝાડવું
bushel	0.417	0.387	0.368	બુશેલ
bushy	0.562	0.321	0.427	ઝાડવું
business	0.688	0.569	0.755	બિઝનેસ
business man	0.530	0.598	0.933	વેપારી માણસ
businessman	0.653	0.510	0.802	વેપારી
businesswoman	0.719	0.500	0.764	બિઝનેસ મહિલા
busload	0.561	0.481	0.492	બસ લોડ
buss	0.469	0.500	0.391	બસ
bust	0.520	0.500	0.420	બસ્ટ
busted	0.204	0.676	0.345	પર્દાફાશ
buster	0.469	0.491	0.483	બસ્ટર
bustle	0.347	0.814	0.445	ખળભળાટ
bustling	0.490	0.850	0.528	ખળભળાટ
busy	0.402	0.500	0.474	વ્યસ્ત
busybody	0.255	0.634	0.472	વ્યસ્ત વ્યક્તિ
butane	0.442	0.483	0.380	બ્યુટેન
butcher	0.500	0.575	0.608	કસાઈ
butler	0.469	0.225	0.438	બટલર
butt	0.347	0.725	0.336	કુંદો
butter	0.650	0.292	0.202	માખણ
buttercup	0.562	0.482	0.422	બટરકપ
butterfly	0.892	0.327	0.314	બટરફ્લાય
buttermilk	0.633	0.311	0.304	છાશ
butterscotch	0.708	0.510	0.356	બટરસ્કોચ
buttery	0.625	0.318	0.303	માખણ
buttock	0.429	0.600	0.288	નિતંબ
buttocks	0.458	0.677	0.365	નિતંબ
button	0.520	0.220	0.343	બટન
buttress	0.438	0.684	0.721	બટ્રેસ
buxom	0.562	0.719	0.547	બક્સોમ
buy	0.771	0.769	0.612	ખરીદો
buyer	0.613	0.519	0.649	ખરીદનાર
buying	0.665	0.784	0.589	ખરીદી
buzz	0.333	0.686	0.375	ગણગણવું
buzzard	0.350	0.500	0.225	બઝાર્ડ
buzzed	0.583	0.549	0.448	buzzed
buzzer	0.549	0.716	0.480	બઝર
buzzing	0.430	0.588	0.370	ગુંજ
bye	0.375	0.398	0.321	બાય
bygone	0.229	0.310	0.315	વીતી ગયેલું
bylaw	0.469	0.373	0.725	બાયલો
byline	0.469	0.450	0.435	બાયલાઇન
bypass	0.429	0.418	0.353	બાયપાસ
bystander	0.480	0.462	0.491	બહાદુર
byte	0.490	0.380	0.407	બાઈટ
byzantine	0.546	0.443	0.492	બાયઝેન્ટાઇન
cab	0.438	0.490	0.421	કેબ
cabal	0.500	0.406	0.573	કેબલ
cabana	0.698	0.296	0.407	કબાના
cabaret	0.677	0.656	0.482	કેબરે
cabbage	0.398	0.225	0.264	કોબી
cabbie	0.521	0.417	0.429	કેબી
cabernet	0.543	0.420	0.480	કેબરનેટ
cabin	0.643	0.292	0.430	કેબિન
cabinet	0.552	0.306	0.465	કેબિનેટ
cable	0.583	0.245	0.434	કેબલ
caboodle	0.529	0.521	0.325	કેબુડલ
caboose	0.440	0.453	0.438	કેબૂઝ
cabriolet	0.667	0.525	0.472	કેબ્રીયોલેટ
cache	0.552	0.348	0.389	કેશ
cacophony	0.408	0.562	0.440	કોકોફોની
cactus	0.439	0.412	0.284	કેક્ટસ
cad	0.447	0.406	0.404	cad
cadaver	0.030	0.690	0.260	શબ
caddie	0.521	0.435	0.259	કેડી
caddy	0.580	0.470	0.380	કેડી
cadence	0.427	0.473	0.355	કેડન્સ
cadet	0.504	0.393	0.664	કેડેટ
cafe	0.781	0.392	0.358	કાફે
cafeteria	0.757	0.400	0.382	કાફેટેરિયા
caffeine	0.562	0.759	0.500	કેફીન
cage	0.316	0.333	0.352	પાંજરું
cagey	0.542	0.363	0.582	કેજી
cahoots	0.312	0.696	0.474	સહવાસ
cairn	0.260	0.435	0.254	કેર્ન
cake	0.810	0.375	0.287	કેક
cakewalk	0.719	0.510	0.447	કેકવોક
calamari	0.521	0.312	0.406	calamari
calamitous	0.219	0.685	0.500	આપત્તિજનક
calamity	0.122	0.795	0.343	આફત
calcareous	0.490	0.368	0.462	ચૂર્ણયુક્ત
calcium	0.600	0.346	0.479	કેલ્શિયમ
calculate	0.490	0.452	0.440	ગણત્રી
calculated	0.633	0.425	0.683	ગણતરી કરેલ
calculating	0.458	0.430	0.625	ગણતરી
calculation	0.646	0.453	0.606	ગણતરી
calculator	0.513	0.283	0.588	કેલ્ક્યુલેટર
calculus	0.360	0.360	0.562	કલન
calendar	0.480	0.212	0.473	કૅલેન્ડર
calender	0.531	0.275	0.451	કૅલેન્ડર
calf	0.531	0.366	0.336	વાછરડું
caliber	0.429	0.551	0.606	કેલિબર
calibrate	0.552	0.460	0.623	માપાંકન
calico	0.406	0.338	0.491	કેલિકો
calipers	0.480	0.510	0.481	કેલિપર્સ
calisthenics	0.562	0.663	0.545	કેલિસ્થેનિક્સ
call	0.594	0.627	0.558	કૉલ
callback	0.524	0.529	0.434	કૉલબેક
caller	0.646	0.615	0.472	કોલર
calligraphy	0.620	0.216	0.500	સુલેખન
calling	0.646	0.590	0.483	કૉલિંગ
callous	0.245	0.500	0.386	કઠોર
calls	0.608	0.431	0.551	કૉલ્સ
calm	0.875	0.100	0.282	શાંત
calming	0.885	0.105	0.360	શાંત
calmness	0.934	0.105	0.394	શાંતિ
caloric	0.327	0.483	0.448	કેલરી
calorie	0.333	0.540	0.427	કેલરી
calorimeter	0.406	0.560	0.414	કેલરીમીટર
cam	0.448	0.363	0.355	કૅમ
camaraderie	0.833	0.510	0.648	મિત્રતા
camber	0.430	0.382	0.439	કેમ્બર
camcorder	0.556	0.422	0.454	કેમકોર્ડર
camel	0.540	0.282	0.314	ઊંટ
cameo	0.573	0.457	0.509	કેમિયો
camera	0.640	0.288	0.379	કેમેરા
cameraman	0.542	0.452	0.542	કેમેરામેન
camisole	0.497	0.250	0.375	ચણિયાચોળી
camouflage	0.438	0.585	0.450	છદ્માવરણ
camouflaged	0.350	0.422	0.562	છદ્માવરણ
camp	0.622	0.617	0.594	શિબિર
campaign	0.602	0.730	0.823	ઝુંબેશ
campaigner	0.592	0.698	0.821	પ્રચારક
campaigning	0.531	0.663	0.741	પ્રચાર
camper	0.573	0.529	0.482	શિબિરાર્થી
campfire	0.677	0.509	0.436	કેમ્પફાયર
camping	0.653	0.529	0.480	પડાવ
campsite	0.680	0.490	0.547	કેમ્પસાઇટ
campus	0.604	0.388	0.519	કેમ્પસ
can	0.662	0.360	0.454	કરી શકો છો
can opener	0.444	0.491	0.308	ઓપનર કરી શકો છો
canal	0.673	0.259	0.321	નહેર
canary	0.582	0.276	0.265	કેનેરી
cancel	0.214	0.306	0.368	રદ કરો
canceling	0.229	0.470	0.349	રદ કરી રહ્યું છે
cancellation	0.224	0.431	0.389	રદ
cancer	0.052	0.694	0.529	કેન્સર
candid	0.667	0.349	0.458	નિખાલસ
candidacy	0.490	0.657	0.696	ઉમેદવારી
candidate	0.596	0.490	0.804	ઉમેદવાર
candied	0.713	0.330	0.360	કેન્ડીડ
candle	0.602	0.221	0.344	મીણબત્તી
candlelight	0.789	0.294	0.417	મીણબત્તી
candles	0.615	0.206	0.268	મીણબત્તીઓ
candlestick	0.448	0.531	0.534	મીણબત્તી
candor	0.740	0.389	0.607	નિખાલસતા
candy	0.930	0.425	0.384	કેન્ડી
cane	0.459	0.298	0.398	શેરડી
canine	0.573	0.569	0.425	રાક્ષસી
canister	0.553	0.271	0.403	ડબ્બો
canker	0.262	0.469	0.427	નાક
cannabis	0.271	0.500	0.564	કેનાબીસ
canned	0.398	0.357	0.298	તૈયાર
cannibal	0.122	0.824	0.480	નરભક્ષક
cannibalism	0.094	0.890	0.583	આદમખોર
canning	0.490	0.392	0.259	કેનિંગ
cannon	0.529	0.676	0.811	તોપ
cannonball	0.344	0.840	0.759	તોપનો ગોળો
canoe	0.542	0.300	0.418	નાવડી
canon	0.385	0.519	0.541	સિદ્ધાંત
canonical	0.542	0.410	0.620	પ્રામાણિક
canons	0.385	0.588	0.593	સિદ્ધાંતો
canopy	0.615	0.264	0.398	છત્ર
cantaloupe	0.592	0.212	0.276	કેન્ટલોપ
cantbreathe	0.284	0.667	0.375	શ્વાસ લઈ શકતો નથી
canteen	0.688	0.600	0.514	કેન્ટીન
canterbury	0.582	0.438	0.510	કેન્ટરબરી
canthandleit	0.354	0.613	0.354	canthandleit
cantilever	0.357	0.618	0.421	કેન્ટીલીવર
cantina	0.646	0.612	0.380	કેન્ટિના
canto	0.776	0.461	0.554	કેન્ટો
canton	0.542	0.472	0.536	કેન્ટન
cantstandit	0.418	0.546	0.343	નથી
cantwin	0.260	0.509	0.298	કેન્ટવીન
canvas	0.719	0.090	0.364	કેનવાસ
canvass	0.675	0.356	0.397	પ્રચાર
canyon	0.468	0.731	0.634	ખીણ
cap	0.612	0.240	0.375	ટોપી
capability	0.833	0.571	0.730	ક્ષમતા
capable	0.765	0.587	0.547	સક્ષમ
capacity	0.719	0.411	0.806	ક્ષમતા
cape	0.531	0.235	0.357	ભૂશિર
caper	0.510	0.370	0.326	કેપર
capillary	0.469	0.365	0.395	રુધિરકેશિકા
capital	0.520	0.500	0.798	પાટનગર
capitalism	0.448	0.686	0.848	મૂડીવાદ
capitalist	0.352	0.577	0.821	મૂડીવાદી
capitalize	0.771	0.601	0.885	મૂડીકરણ
capitals	0.755	0.500	0.655	રાજધાની
capitation	0.479	0.529	0.589	કેપિટેશન
capitol	0.535	0.375	0.705	કેપિટોલ
capitulation	0.375	0.546	0.615	શરણાગતિ
cappuccino	0.792	0.279	0.384	કેપ્પુચીનો
caprice	0.333	0.640	0.430	તિરસ્કાર
capricious	0.221	0.650	0.500	તરંગી
caps	0.510	0.221	0.368	ટોપીઓ
capslock	0.330	0.394	0.398	કેપ્સ લોક
capsule	0.583	0.290	0.570	કેપ્સ્યુલ
captain	0.552	0.653	0.966	કેપ્ટન
caption	0.814	0.292	0.379	કૅપ્શન
captivate	0.698	0.604	0.723	મોહિત કરવું
captivating	0.895	0.594	0.816	મનમોહક
captive	0.235	0.558	0.411	બંદીવાન
captivity	0.225	0.493	0.387	કેદ
captor	0.347	0.625	0.612	અપહરણકર્તા
capture	0.357	0.650	0.537	કેપ્ચર
car	0.776	0.540	0.500	કાર
caramel	0.901	0.363	0.400	કારામેલ
carat	0.823	0.604	0.676	કેરેટ
caravan	0.635	0.559	0.455	કાફલો
carbon	0.604	0.360	0.350	કાર્બન
carburetor	0.469	0.612	0.555	કાર્બ્યુરેટર
carcass	0.115	0.529	0.309	શબ
carcinoma	0.153	0.692	0.440	કાર્સિનોમા
card	0.531	0.269	0.436	કાર્ડ
cardboard	0.500	0.173	0.309	કાર્ડબોર્ડ
cardiac	0.344	0.765	0.615	કાર્ડિયાક
cardigan	0.599	0.324	0.264	કાર્ડિગન
cardinal	0.583	0.358	0.712	મુખ્ય
cardiologist	0.458	0.630	0.814	કાર્ડિયોલોજિસ્ટ
cardiology	0.203	0.545	0.605	કાર્ડિયોલોજી
cardiomyopathy	0.177	0.645	0.537	કાર્ડિયોમાયોપેથી
cards	0.568	0.317	0.320	કાર્ડ
care	0.729	0.370	0.500	કાળજી
career	0.740	0.712	0.606	કારકિર્દી
carefree	0.755	0.220	0.500	નચિંત
careful	0.625	0.538	0.530	સાવચેત
carefully	0.698	0.330	0.544	કાળજીપૂર્વક
careless	0.255	0.431	0.125	બેદરકાર
carelessness	0.245	0.482	0.330	બેદરકારી
caress	0.833	0.418	0.509	સ્નેહ
caret	0.656	0.402	0.527	કેરેટ
caretaker	0.714	0.531	0.759	સંભાળ રાખનાર
cargo	0.408	0.444	0.455	કાર્ગો
caribou	0.562	0.452	0.342	કેરીબુ
caricature	0.604	0.373	0.383	કેરિકેચર
caries	0.115	0.569	0.283	અસ્થિક્ષય
caring	0.635	0.469	0.500	સંભાળ
carjack	0.438	0.682	0.439	કારજેક
carnage	0.406	0.600	0.558	હત્યાકાંડ
carnal	0.417	0.679	0.421	દૈહિક
carnation	0.653	0.357	0.431	કાર્નેશન
carnival	0.927	0.888	0.555	કાર્નિવલ
carnivorous	0.224	0.613	0.651	માંસાહારી
carol	0.673	0.412	0.436	કેરોલ
carols	0.847	0.420	0.491	કેરોલ્સ
carousel	0.704	0.500	0.412	હિંડોળા
carp	0.531	0.324	0.375	કાર્પ
carpal	0.449	0.327	0.420	કાર્પલ
carpenter	0.521	0.550	0.519	સુથાર
carpentry	0.561	0.459	0.518	સુથારકામ
carpet	0.520	0.170	0.339	કાર્પેટ
carpeting	0.542	0.312	0.444	ગાલીચો
carpool	0.625	0.509	0.500	કારપૂલ
carriage	0.650	0.538	0.491	વાહન
carried	0.490	0.382	0.534	વહન
carrier	0.533	0.588	0.638	વાહક
carrot	0.500	0.235	0.279	ગાજર
carry	0.635	0.380	0.500	વહન
carrying	0.656	0.557	0.443	વહન
carsick	0.224	0.574	0.255	કારસીક
cart	0.520	0.344	0.388	કાર્ટ
carte	0.592	0.320	0.274	કાર્ટે
cartel	0.438	0.394	0.602	કાર્ટેલ
carter	0.312	0.480	0.431	કાર્ટર
cartilage	0.438	0.370	0.407	કોમલાસ્થિ
cartographic	0.490	0.348	0.424	કાર્ટોગ્રાફિક
cartography	0.520	0.300	0.579	કાર્ટગ્રાફી
carton	0.286	0.186	0.241	પૂંઠું
cartoon	0.867	0.471	0.387	કાર્ટૂન
cartouche	0.427	0.458	0.450	કાર્ટૂચ
cartridge	0.458	0.500	0.407	કારતૂસ
carve	0.469	0.443	0.598	કોતરવું
carver	0.418	0.500	0.500	કોતરનાર
carving	0.541	0.444	0.368	કોતરણી
cascade	0.735	0.509	0.395	કાસ્કેડ
case	0.427	0.275	0.441	કેસ
casein	0.470	0.436	0.415	કેસીન
cash	0.867	0.552	0.714	રોકડ
cashier	0.615	0.413	0.484	કેશિયર
cashmere	0.653	0.452	0.439	કાશ્મીરી
casing	0.458	0.327	0.328	કેસીંગ
casino	0.542	0.684	0.568	કેસિનો
cask	0.490	0.398	0.444	પીપડું
casket	0.125	0.490	0.346	કાસ્કેટ
casserole	0.570	0.360	0.328	કેસરોલ
cassette	0.490	0.334	0.355	કેસેટ
cast	0.558	0.620	0.517	કાસ્ટ
castaway	0.208	0.646	0.422	દૂર
caste	0.510	0.333	0.374	જાતિ
caster	0.604	0.670	0.647	ઢાળગર
castle	0.680	0.396	0.718	કિલ્લો
castor	0.583	0.337	0.368	એરંડા
castrate	0.177	0.485	0.519	કાસ્ટ્રેટ
castration	0.198	0.735	0.381	કાસ્ટ્રેશન
casual	0.643	0.224	0.385	કેઝ્યુઅલ
casually	0.658	0.290	0.333	આકસ્મિક રીતે
casualty	0.235	0.274	0.132	જાનહાનિ
cat	0.667	0.260	0.370	બિલાડી
catabolism	0.265	0.573	0.605	અપચય
catalog	0.561	0.221	0.573	સૂચિ
catalogue	0.647	0.327	0.533	સૂચિ
catalysis	0.385	0.559	0.531	ઉત્પ્રેરક
catalyst	0.604	0.509	0.585	ઉત્પ્રેરક
catalytic	0.562	0.519	0.563	ઉત્પ્રેરક
catamaran	0.571	0.566	0.526	કેટામરન
catapult	0.480	0.830	0.649	કૅટપલ્ટ
cataract	0.406	0.545	0.549	મોતિયા
catastrophe	0.146	0.952	0.670	આપત્તિ
catastrophic	0.071	0.934	0.598	આપત્તિજનક
catatonic	0.255	0.500	0.509	catatonic
catch	0.531	0.437	0.552	પકડી
catcher	0.653	0.413	0.540	પકડનાર
catching	0.490	0.788	0.644	પકડવું
catchphrase	0.698	0.423	0.433	કેચફ્રેઝ
catchy	0.677	0.441	0.462	આકર્ષક
catechism	0.656	0.236	0.613	catechism
categorical	0.615	0.442	0.760	સ્પષ્ટ
category	0.571	0.264	0.521	શ્રેણી
cater	0.802	0.500	0.509	સગવડ
caterer	0.550	0.557	0.644	કેટરર
caterpillar	0.461	0.286	0.330	ઈયળ
cates	0.370	0.394	0.407	કેટ્સ
catfish	0.458	0.337	0.296	કેટફિશ
cathartic	0.450	0.510	0.604	કેથાર્ટિક
cathedral	0.598	0.330	0.643	કેથેડ્રલ
catheter	0.336	0.491	0.373	મૂત્રનલિકા
cathouse	0.327	0.375	0.363	કૅટહાઉસ
catnip	0.439	0.381	0.296	ખુશબોદાર છોડ
cattle	0.622	0.340	0.445	ઢોર
catwalk	0.698	0.436	0.464	કેટવોક
caucus	0.418	0.311	0.491	કોકસ
caudal	0.500	0.425	0.583	પુચ્છ
cauldron	0.510	0.486	0.418	કઢાઈ
cauliflower	0.448	0.255	0.231	ફૂલકોબી
caulk	0.367	0.500	0.418	કોક
causal	0.562	0.367	0.491	કારણ
causality	0.500	0.378	0.336	કાર્યકારણ
causation	0.562	0.480	0.567	કારણ
cause	0.469	0.373	0.486	કારણ
caused	0.344	0.520	0.382	કારણે
causeway	0.453	0.382	0.422	કોઝવે
caution	0.552	0.712	0.547	સાવધાની
cautionary	0.510	0.541	0.519	સાવધાન
cautious	0.470	0.445	0.517	સાવધ
cautiously	0.510	0.388	0.525	સાવધાનીપૂર્વક
cavalier	0.735	0.462	0.713	ઘોડેસવાર
cavalry	0.667	0.727	0.794	ઘોડેસવાર
cave	0.459	0.333	0.380	ગુફા
caveat	0.344	0.629	0.484	ચેતવણી
