English Word	Valence	Arousal	Dominance	Sinhala Word
conga	0.469	0.529	0.440	කොන්ගා
congenial	0.820	0.412	0.620	සුහදශීලී
congenital	0.448	0.434	0.427	සහජ
congestion	0.271	0.654	0.491	තදබදය
conglomerate	0.500	0.500	0.838	සංගත
conglomeration	0.541	0.720	0.670	සමුහය
congrats	0.930	0.726	0.775	සුභ පැතුම්
congratulate	0.927	0.724	0.784	සුභ පතනවා
congratulation	0.948	0.780	0.717	සුභ පැතුම්
congratulations	0.960	0.755	0.719	සුභ පැතුම්
congratulatory	0.959	0.616	0.689	සුභ පැතුම්
congregate	0.653	0.530	0.733	රැස් වෙනවා
congregation	0.561	0.490	0.700	සභාව
congress	0.449	0.444	0.857	සම්මේලනය
congressional	0.552	0.491	0.848	කොංග්රස්
congressman	0.438	0.471	0.877	කොන්ග්රස්කාරයා
congruence	0.656	0.472	0.577	සමපාත වීම
conic	0.510	0.368	0.379	කේතුකාකාර
conical	0.490	0.422	0.471	කේතුකාකාර
conjecture	0.396	0.398	0.534	අනුමානය
conjugal	0.698	0.510	0.688	විවාහක
conjugate	0.583	0.420	0.467	සංයෝජන
conjugation	0.479	0.429	0.582	සංයෝජන
conjunction	0.520	0.472	0.509	සංයෝජන
conjunctive	0.487	0.444	0.639	සංයෝජනීය
conjure	0.385	0.679	0.645	සංකල්පනා කරන්න
conjuring	0.224	0.653	0.694	මන්ත්‍ර කිරීම
conk	0.340	0.469	0.404	කොන්ක්
connect	0.724	0.299	0.536	සම්බන්ධ කරන්න
connected	0.816	0.550	0.612	සම්බන්ධයි
connection	0.729	0.560	0.655	සම්බන්ධතාවය
connective	0.719	0.491	0.764	සම්බන්ධක
connoisseur	0.760	0.461	0.769	රසඥයා
conquer	0.694	0.873	0.971	ජයගන්නවා
conquering	0.760	0.873	0.936	ජය ගැනීම
conqueror	0.604	0.809	0.930	ජයග්රාහකයා
conquest	0.710	0.702	0.833	යටත් කර ගැනීම
conscience	0.663	0.375	0.721	හෘදය සාක්ෂිය
conscientious	0.688	0.404	0.688	හෘදසාක්ෂිය
conscious	0.740	0.333	0.705	සවිඥානිකයි
consciousness	0.840	0.483	0.755	විඥානය
conscription	0.396	0.775	0.642	බලහත්කාරයෙන් බඳවා ගැනීම
consecrated	0.663	0.500	0.800	කැප කළා
consecration	0.771	0.418	0.804	කැප කිරීම
consecutive	0.663	0.418	0.643	අඛණ්ඩව
consensual	0.663	0.417	0.655	සම්මුතිවාදී
consensus	0.627	0.358	0.625	සම්මුතිය
consent	0.750	0.500	0.620	කැමැත්ත
consenting	0.727	0.406	0.693	එකඟ වෙමින්
consequence	0.240	0.721	0.593	ප්රතිවිපාක
consequent	0.663	0.471	0.625	එහි ප්රතිඵලයක්
conservation	0.832	0.401	0.606	සංරක්ෂණ
conservatism	0.406	0.369	0.633	ගතානුගතිකවාදය
conservative	0.615	0.316	0.788	ගතානුගතික
conservatory	0.635	0.240	0.729	සංරක්ෂණාගාරය
conserve	0.690	0.347	0.573	සංරක්ෂණය
consider	0.677	0.368	0.579	සලකා බලන්න
considerable	0.653	0.314	0.683	සැලකිය යුතු
considerate	0.781	0.380	0.633	සැලකිලිමත්
consideration	0.589	0.380	0.687	සලකා බැලීම
consignee	0.635	0.385	0.602	භාරකරු
consignment	0.490	0.440	0.500	තොගය
consist	0.823	0.386	0.580	සමන්විත වේ
consistency	0.714	0.500	0.887	අනුකූලතාව
consistent	0.786	0.431	0.726	ස්ථාවර
consolation	0.408	0.250	0.304	සැනසීම
console	0.625	0.398	0.415	කොන්සෝලය
consoled	0.700	0.343	0.452	සැනසුවා
consolidate	0.880	0.440	0.870	ඒකාබද්ධ කරන්න
consolidated	0.700	0.366	0.784	ඒකාබද්ධ
consolidation	0.604	0.445	0.776	ඒකාබද්ධ කිරීම
consonant	0.500	0.347	0.417	ව්යාංජනාක්ෂර
consort	0.632	0.509	0.630	සහකාරිය
conspicuous	0.479	0.520	0.596	කැපී පෙනෙන
conspiracy	0.125	0.787	0.652	කුමන්ත්රණය
conspirator	0.271	0.786	0.707	කුමන්ත්රණය කරන්නා
conspire	0.206	0.740	0.520	කුමන්ත්රණය කරති
constable	0.573	0.667	0.764	කොස්තාපල්
constancy	0.786	0.443	0.763	ස්ථාවරත්වය
constant	0.740	0.296	0.686	නියත
constantly	0.663	0.561	0.700	නිරන්තරයෙන්
constellation	0.719	0.533	0.775	තාරකා මණ්ඩලය
consternation	0.167	0.680	0.469	වික්ෂිප්තභාවය
constipation	0.079	0.612	0.231	මලබද්ධය
constituency	0.500	0.480	0.696	මැතිවරණ කොට්ඨාශය
constituent	0.573	0.500	0.827	සංඝටකය
constituents	0.573	0.414	0.833	සංඝටක
constitute	0.812	0.349	0.906	පිහිටුවීම
constitution	0.590	0.380	0.889	ව්යවස්ථාව
constitutional	0.633	0.418	0.827	ව්යවස්ථාපිත
constitutionality	0.612	0.439	0.853	ව්යවස්ථානුකූල බව
constrain	0.261	0.500	0.500	සීමා කරන්න
constrained	0.135	0.537	0.357	බලපාන ලද
constraint	0.323	0.550	0.481	සීමා කිරීම
construct	0.750	0.648	0.792	ගොඩනැගීම
construction	0.848	0.612	0.759	ඉදිකිරීම
constructive	0.860	0.570	0.812	නිර්මාණාත්මක
construe	0.602	0.519	0.553	අර්ථ ගන්වයි
consul	0.573	0.354	0.688	කොන්සල්
consulate	0.561	0.453	0.694	කොන්සල් කාර්යාලය
consult	0.755	0.370	0.441	උපදෙස්
consultant	0.770	0.344	0.808	උපදේශක
consultation	0.660	0.463	0.625	උපදේශනය
consume	0.427	0.620	0.509	පරිභෝජනය කරයි
consumer	0.507	0.551	0.677	පාරිභෝගික
consuming	0.573	0.541	0.536	පරිභෝජනය කරයි
consummate	0.551	0.540	0.558	සම්පූර්ණයි
consummation	0.583	0.676	0.661	සම්පූර්ණ කිරීම
consumption	0.390	0.531	0.538	පරිභෝජනය
contact	0.719	0.424	0.526	අමතන්න
contagion	0.208	0.630	0.535	බෝවීම
contagious	0.184	0.725	0.400	සංස්පර්ශක
contain	0.542	0.490	0.658	අඩංගු
container	0.551	0.396	0.561	බහාලුම්
containment	0.411	0.491	0.618	සීමා කිරීම
contaminate	0.140	0.611	0.426	දූෂණය කරන්න
contaminated	0.040	0.500	0.368	දූෂිතයි
contamination	0.125	0.610	0.375	දූෂණය වීම
contemplate	0.740	0.347	0.642	මෙනෙහි කරන්න
contemplation	0.552	0.324	0.627	මෙනෙහි කිරීම
contemplative	0.729	0.308	0.739	කල්පනාකාරී
contemporaneous	0.640	0.373	0.591	සමකාලීන
contemporary	0.720	0.365	0.569	සමකාලීන
contempt	0.206	0.635	0.396	අවඥාව
contemptible	0.146	0.657	0.471	පිළිකුල් සහගතය
contemptuous	0.204	0.500	0.375	අවඥා සහගත ය
contend	0.510	0.657	0.731	විවාද කරනවා
contender	0.480	0.790	0.681	තරඟකරු
contending	0.490	0.698	0.716	තරග කරනවා
content	0.764	0.296	0.559	අන්තර්ගතය
contented	0.857	0.612	0.746	තෘප්තිමත්
contention	0.375	0.510	0.738	මතභේදය
contentious	0.422	0.573	0.637	මතභේදාත්මක
contentment	0.875	0.610	0.782	තෘප්තිය
contents	0.656	0.375	0.550	අන්තර්ගතය
contest	0.667	0.698	0.717	තරඟය
contestant	0.760	0.530	0.602	තරඟකරු
context	0.531	0.300	0.553	සන්දර්භය
contiguous	0.375	0.450	0.500	එක ළඟ
continence	0.450	0.396	0.469	continence
continent	0.551	0.373	0.833	මහාද්වීපය
continental	0.486	0.350	0.755	මහාද්වීපික
contingency	0.396	0.500	0.670	හදිසි අවස්ථාව
contingent	0.470	0.531	0.659	සංචිතය
continual	0.500	0.423	0.685	අඛණ්ඩ
continually	0.646	0.438	0.698	අඛණ්ඩව
continuance	0.729	0.510	0.652	අඛණ්ඩව
continuation	0.615	0.470	0.566	අඛණ්ඩව
continue	0.630	0.427	0.612	දිගටම
continued	0.635	0.440	0.500	දිගටම
continuing	0.667	0.500	0.520	දිගටම
continuity	0.781	0.439	0.684	අඛණ්ඩතාව
continuous	0.625	0.509	0.580	අඛණ්ඩ
continuously	0.719	0.417	0.702	අඛණ්ඩව
continuum	0.677	0.390	0.491	අඛණ්ඩව
contour	0.589	0.265	0.414	සමෝච්ඡය
contraband	0.177	0.875	0.670	හොර බඩු
contraception	0.296	0.518	0.525	ප්රතිංධිසරාේධක
contract	0.594	0.412	0.636	ගිවිසුම
contracted	0.344	0.557	0.449	ගිවිසුම් ගත විය
contractile	0.480	0.586	0.569	හැකිලෙන
contracting	0.594	0.490	0.769	හැකිලීම
contraction	0.292	0.755	0.603	හැකිලීම
contractor	0.592	0.479	0.727	කොන්ත්රාත්කරු
contradict	0.160	0.598	0.482	පරස්පරයි
contradiction	0.250	0.660	0.377	ප්රතිවිරෝධතාව
contradictory	0.365	0.651	0.421	පරස්පර විරෝධී
contraption	0.448	0.590	0.491	contraption
contrary	0.327	0.449	0.338	ප්රතිවිරුද්ධ
contrast	0.480	0.406	0.520	වෙනස
contrasted	0.521	0.538	0.491	ප්රතිවිරුද්ධ
contravene	0.357	0.618	0.472	උල්ලංඝනය කරයි
contravention	0.344	0.627	0.593	උල්ලංඝනය
contribute	0.806	0.350	0.795	දායක වෙනවා
contribution	0.854	0.452	0.760	දායකත්වය
contributor	0.844	0.510	0.760	දායකයා
contrite	0.347	0.363	0.473	පසුතැවිලි වේ
contrition	0.347	0.583	0.463	පසුතැවීම
contrived	0.408	0.530	0.458	කුමන්ත්රණය කරන ලදී
control	0.729	0.352	0.808	පාලනය
controller	0.469	0.712	0.868	පාලකය
controlling	0.490	0.441	0.885	පාලනය කිරීම
controversial	0.271	0.858	0.538	මතභේදාත්මක
controversy	0.250	0.819	0.600	මතභේදය
contusion	0.167	0.565	0.509	ව්යාකූලත්වය
conundrum	0.354	0.524	0.408	ප්රහේලිකාව
convalescent	0.458	0.480	0.269	සුවපත්
convection	0.521	0.494	0.526	සංවහනය
convene	0.583	0.676	0.636	රැස් වෙනවා
convenience	0.781	0.448	0.613	පහසුව
conveniences	0.802	0.412	0.693	පහසුව
convenient	0.846	0.491	0.574	පහසුයි
convent	0.480	0.217	0.594	කන්යාරාමය
convention	0.622	0.622	0.704	සම්මුතිය
conventional	0.594	0.292	0.634	සාම්ප්රදායික
converge	0.635	0.471	0.539	අභිසාරී වේ
convergence	0.551	0.491	0.625	අභිසාරී වීම
convergent	0.781	0.490	0.696	අභිසාරී
conversant	0.724	0.360	0.542	කතා කරන
conversation	0.750	0.510	0.609	සාකච්ඡාව
conversational	0.719	0.431	0.596	සංවාදාත්මක
conversationalist	0.719	0.467	0.667	සංවාදවාදියා
converse	0.594	0.406	0.598	සංවාදය
conversing	0.755	0.409	0.442	කතා කරනවා
conversion	0.480	0.605	0.736	පරිවර්තනය
convert	0.551	0.538	0.704	පරිවර්තනය කරන්න
converted	0.663	0.418	0.686	පරිවර්තනය කළා
convertible	0.542	0.529	0.717	පරිවර්තනය කළ හැකි
convex	0.438	0.427	0.445	උත්තල
convexity	0.449	0.354	0.484	උත්තල
convey	0.719	0.633	0.708	දන්වයි
conveyance	0.615	0.520	0.455	ප්රවාහනය
conveyancing	0.375	0.479	0.663	ප්රවාහනය කිරීම
convict	0.177	0.840	0.477	වරදකරු
conviction	0.615	0.704	0.826	විශ්වාස කිරීම
convince	0.708	0.539	0.763	ඒත්තු ගන්වයි
convinced	0.750	0.500	0.630	ඒත්තු ගැන්වී ඇත
convincing	0.760	0.527	0.900	ඒත්තු ගැන්වීම
convocation	0.538	0.611	0.663	රැස්වීම
convoluted	0.323	0.614	0.433	ව්යාකූල
convolution	0.417	0.559	0.527	convolution
convoy	0.500	0.671	0.639	රථ පෙළ
coo	0.490	0.439	0.500	ප්රධාන මෙහෙයුම් නිලධාරී
cook	0.847	0.500	0.412	උයන්න
cookbook	0.602	0.346	0.398	ඉවුම් පිහුම් පොත
cooker	0.592	0.373	0.407	කුකර්
cookery	0.633	0.368	0.345	ආහාර පිසීම
cookie	0.792	0.306	0.250	කුකීස්
cookies	0.823	0.451	0.316	කුකීස්
cooking	0.694	0.510	0.434	ආහාර පිසීම
cookout	0.680	0.406	0.482	ආහාර පිසීම
cool	0.885	0.540	0.781	සිසිල්
coolant	0.720	0.412	0.456	සිසිලනකාරකය
cooler	0.664	0.375	0.460	සිසිලකය
cooling	0.469	0.324	0.392	සිසිලස
coolness	0.490	0.307	0.548	සිසිලස
coon	0.490	0.460	0.400	කූන්
coop	0.612	0.445	0.650	කූඩුව
cooperate	0.898	0.451	0.582	සහයෝගයෙන් කටයුතු කරනවා
cooperating	0.760	0.390	0.693	සහයෝගයෙන්
cooperation	0.847	0.473	0.686	සහයෝගීතාව
cooperative	0.816	0.461	0.670	සමුපකාර
coordinate	0.698	0.429	0.694	සම්බන්ධීකරණය
coordination	0.677	0.454	0.789	සම්බන්ධීකරණය
coordinator	0.750	0.510	0.850	සම්බන්ධීකාරක
cop	0.327	0.770	0.836	පොලිස් නිලධාරියා
copacetic	0.510	0.471	0.453	copacetic
cope	0.592	0.647	0.709	මුහුණ දෙනවා
copier	0.459	0.345	0.390	පිටපත් කරන්නා
copilot	0.640	0.538	0.573	සහායක නියමුවා
coping	0.562	0.630	0.613	මුහුණ දෙනවා
copious	0.427	0.462	0.527	බහුල
copper	0.580	0.260	0.500	තඹ
copter	0.571	0.704	0.569	කොප්ටරය
copy	0.460	0.240	0.263	පිටපත
copycat	0.449	0.580	0.443	පිටපත් කිරීම
copying	0.448	0.315	0.404	පිටපත් කිරීම
copyright	0.458	0.402	0.663	කතුහිමිකම
coral	0.802	0.231	0.425	කොරල්පර
coral snake	0.276	0.712	0.607	කොරල් සර්පයා
cord	0.388	0.378	0.358	ලණුව
cordial	0.823	0.312	0.482	සුහදශීලී
cordless	0.667	0.441	0.528	රැහැන් රහිත
cordon	0.469	0.317	0.380	cordon
corduroy	0.570	0.324	0.357	corduroy
core	0.721	0.378	0.540	හරය
cork	0.347	0.250	0.281	කිරළ
corkscrew	0.427	0.443	0.445	කිරළ ඉස්කුරුප්පු ඇණ
corn	0.594	0.196	0.292	ඉරිඟු
cornball	0.479	0.378	0.325	බඩ ඉරිඟු
cornbread	0.643	0.304	0.302	ඉරිඟු පාන්
cornea	0.521	0.346	0.443	කෝනියා
corned	0.459	0.441	0.425	බඩ ඉරිඟු
corner	0.400	0.296	0.366	කෙළවරේ
cornerstone	0.550	0.388	0.596	මුල්ගල
cornet	0.507	0.520	0.415	cornet
cornfield	0.719	0.310	0.349	බඩ ඉරිඟු
cornflakes	0.729	0.346	0.355	ඉරිඟු පිටි
cornice	0.458	0.441	0.295	cornice
cornstarch	0.643	0.299	0.337	ඉරිඟු පිෂ්ඨය
corny	0.448	0.370	0.221	බඩ ඉරිඟු
corollary	0.458	0.469	0.366	අනුපූරකය
corona	0.818	0.439	0.745	corona
coronary	0.567	0.613	0.509	කිරීටක
coronation	0.792	0.592	0.836	රාජාභිෂේකය
coroner	0.323	0.558	0.526	හදිසි මරණ පරීක්ෂක
corporal	0.582	0.490	0.596	කෝප්රල්
corporate	0.592	0.454	0.745	ආයතනික
corporation	0.429	0.332	0.873	සංස්ථා
corporeal	0.520	0.350	0.461	ශාරීරික
corps	0.551	0.453	0.483	බලකාය
corpse	0.094	0.657	0.232	මළ සිරුර
corpsman	0.439	0.469	0.651	බළකාය
corpus	0.543	0.340	0.490	corpus
corral	0.606	0.662	0.422	කොරල්
correct	0.857	0.306	0.723	නිවැරදි
correction	0.448	0.485	0.558	නිවැරදි කිරීම
correctional	0.292	0.713	0.602	නිවැරදි කිරීම
corrective	0.448	0.528	0.613	නිවැරදි කිරීම
correctness	0.796	0.450	0.649	නිවැරදි බව
correlation	0.596	0.462	0.571	සහසම්බන්ධය
correlative	0.510	0.402	0.571	සහසම්බන්ධයි
correspond	0.710	0.452	0.545	අනුරූප වේ
correspondence	0.663	0.423	0.491	ලිපි හුවමාරුව
correspondent	0.573	0.565	0.712	වාර්තාකරු
corresponding	0.740	0.423	0.618	අනුරූපී
corridor	0.604	0.589	0.592	කොරිඩෝව
corroborate	0.671	0.471	0.616	තහවුරු කරනවා
corroboration	0.625	0.431	0.733	තහවුරු කිරීම
corrosion	0.156	0.610	0.348	විඛාදනය
corrosive	0.140	0.618	0.570	විඛාදනයට ලක්වන
corrupt	0.020	0.806	0.500	දූෂිතයි
corrupting	0.062	0.804	0.380	දූෂණය කරනවා
corruption	0.052	0.830	0.549	දූෂණය
corsage	0.510	0.294	0.397	corsage
corse	0.448	0.451	0.382	corse
corset	0.490	0.520	0.381	corset
cortex	0.594	0.439	0.529	බාහිකය
cortical	0.380	0.423	0.536	cortical
cortisone	0.427	0.395	0.456	කෝටිසෝන්
corvette	0.551	0.520	0.598	corvette
cosmetic	0.625	0.304	0.308	රූපලාවන්ය
cosmetics	0.765	0.464	0.472	විලවුන්
cosmic	0.663	0.538	0.692	කොස්මික්
cosmology	0.651	0.438	0.637	විශ්ව විද්යාව
cosmopolitan	0.823	0.510	0.760	කොස්මොපොලිටන්
cosmos	0.860	0.478	0.664	කොස්මොස්
cost	0.365	0.420	0.439	පිරිවැය
costly	0.316	0.650	0.642	වියදම් අධික
costume	0.548	0.510	0.374	ඇඳුම
cosy	0.847	0.255	0.518	සනීප
cot	0.625	0.230	0.278	ඇඳ
cote	0.439	0.344	0.324	cote
cottage	0.600	0.279	0.361	ගෘහය
cotton	0.639	0.071	0.240	කපු
couch	0.594	0.082	0.198	යහන
cougar	0.438	0.588	0.538	කූගර්
cough	0.255	0.627	0.241	කැස්ස
council	0.875	0.279	0.635	සභා
councilman	0.531	0.367	0.793	සභා මන්ත්රී
counsel	0.594	0.519	0.730	උපදෙස්
counseling	0.667	0.480	0.704	උපදේශනය
counsellor	0.823	0.327	0.740	උපදේශක
counselor	0.873	0.365	0.706	උපදේශක
count	0.594	0.389	0.492	ගණන් කරන්න
countdown	0.438	0.692	0.490	ගණන් කිරීම
countenance	0.635	0.440	0.690	මුහුණ
counter	0.439	0.478	0.750	කවුන්ටරය
counteract	0.378	0.542	0.688	විරුද්ධ වෙනවා
counterattack	0.281	0.951	0.764	ප්රතිප්රහාරය
counterbalance	0.520	0.480	0.627	ප්රති තුලනය
counterclaim	0.398	0.760	0.651	විරුද්ධ හිමිකම් පෑම
counterfeit	0.094	0.694	0.451	ව්යාජ
counterpart	0.448	0.608	0.577	සගයා
counterpoint	0.438	0.509	0.538	ප්රති ලක්ෂ්යය
countess	0.562	0.440	0.670	ගණන්කාරිය
countless	0.520	0.566	0.534	ගණන් කළ නොහැකි ය
country	0.698	0.394	0.693	රට
countryman	0.673	0.441	0.789	රටවැසියා
countrymusic	0.795	0.451	0.438	රට සංගීතය
countryside	0.732	0.288	0.327	ගම්බද
counts	0.343	0.373	0.500	ගණන් ගනී
county	0.479	0.368	0.545	ප්රාන්තය
coup	0.275	0.815	0.607	කුමන්ත්රණය
coupe	0.479	0.460	0.482	කූපේ
couple	0.806	0.605	0.607	යුවළක්
coupled	0.612	0.286	0.650	සම්බන්ධ කර ඇත
coupling	0.594	0.479	0.555	සම්බන්ධ කිරීම
coupon	0.704	0.300	0.421	කූපනය
courage	0.830	0.728	0.849	ධෛර්යය
courageous	0.918	0.587	0.879	නිර්භීත
courier	0.551	0.383	0.441	කුරියර්
courses	0.735	0.412	0.534	පාඨමාලා
coursing	0.542	0.472	0.546	පාඨමාලාව
court	0.479	0.769	0.827	අධිකරණය
courteous	0.937	0.396	0.529	ආචාරශීලී
courtesy	0.927	0.287	0.431	අනුග්රහයෙනි
courthouse	0.571	0.503	0.818	උසාවිය
courtroom	0.385	0.670	0.887	අධිකරණ ශාලාව
courts	0.367	0.710	0.816	උසාවි
courtship	0.667	0.490	0.654	ආලය
courtside	0.592	0.391	0.434	උසාවිය
courtyard	0.503	0.365	0.355	මළුව
cousin	0.675	0.394	0.427	මස්සිනා
cousins	0.760	0.409	0.464	ඥාති සහෝදරියන්
cove	0.500	0.304	0.370	ආවරණය
coven	0.458	0.578	0.591	සම්මුතිය
covenant	0.594	0.462	0.667	ගිවිසුම
cover	0.365	0.240	0.471	ආවරණය
coverage	0.767	0.413	0.629	ආවරණය
covered	0.562	0.340	0.644	ආවරණය
covering	0.615	0.382	0.583	ආවරණය කිරීම
covert	0.500	0.570	0.508	රහසිගත
covet	0.302	0.779	0.524	ආශා කරනවා
coveted	0.661	0.730	0.625	ආශා කළා
cow	0.449	0.230	0.300	ගවයා
coward	0.102	0.490	0.149	බියගුල්ලෙක්
cowardice	0.133	0.621	0.167	බියගුලුකම
cowardly	0.102	0.385	0.127	බියගුලුය
cowboy	0.594	0.625	0.695	කව්බෝයි
cowgirl	0.541	0.566	0.554	ගව දැරිය
cowhand	0.438	0.480	0.596	ගව හස්තය
cowhide	0.458	0.324	0.333	ගව හම්
cowl	0.427	0.450	0.232	ගවයා
coworker	0.667	0.490	0.625	සගයා
coy	0.347	0.330	0.213	නිහතමානී
coyote	0.459	0.471	0.387	coyote
cozy	0.910	0.356	0.545	සනීප
crab	0.421	0.396	0.330	කකුළුවා
crabby	0.198	0.812	0.370	කකුළුවන්
crack	0.302	0.625	0.400	ඉරිතැලීම
cracked	0.224	0.520	0.228	ඉරිතලා
cracker	0.604	0.343	0.346	රතිඤ්ඤා
crackerjack	0.567	0.509	0.426	crackerjack
cracking	0.327	0.557	0.286	ඉරිතැලීම
crackle	0.327	0.643	0.481	පුපුරන්න
crackpot	0.260	0.602	0.245	crackpot
cradle	0.776	0.194	0.333	තොටිල්ල
craft	0.760	0.321	0.539	ශිල්ප
crafts	0.667	0.380	0.391	අත්කම්
craftsman	0.719	0.310	0.583	ශිල්පියා
craftsmanship	0.823	0.373	0.571	ශිල්පීය
crafty	0.589	0.679	0.783	කපටි
craig	0.448	0.449	0.490	ක්රේග්
cram	0.354	0.730	0.598	cram
crammed	0.406	0.740	0.466	හිරවෙලා
cramp	0.194	0.796	0.340	කැක්කුම
cramped	0.240	0.567	0.360	හිරවෙලා
cranberry	0.793	0.330	0.363	ක්රැන්බෙරි
cranberry juice	0.622	0.321	0.281	ක්රෑන්බේරි යුෂ
crane	0.396	0.417	0.589	දොඹකරය
cranial	0.354	0.510	0.583	හිස් කබල
cranium	0.439	0.491	0.725	හිස්කබල
crank	0.448	0.275	0.417	crank
cranky	0.194	0.776	0.396	පිස්සු
cranny	0.194	0.471	0.250	පිස්සු
crap	0.083	0.644	0.167	ජරාව
crappy	0.039	0.582	0.208	විකාර
craps	0.375	0.420	0.273	ජරාව
crash	0.194	0.906	0.355	කඩා වැටීම
crass	0.223	0.490	0.466	විකාර
crate	0.427	0.173	0.274	කූඩය
crater	0.450	0.647	0.529	ආවාටය
crave	0.625	0.510	0.731	ආශා කරනවා
craving	0.510	0.755	0.636	තෘෂ්ණාව
crawfish	0.510	0.427	0.342	crawfish
crawl	0.479	0.519	0.467	බඩගානවා
crayon	0.604	0.260	0.185	පාට පාට
crayons	0.684	0.366	0.405	ක්රෙයොන්ස්
craze	0.255	0.657	0.435	උන්මාදය
crazed	0.153	0.877	0.417	උමතු විය
craziness	0.238	0.908	0.255	පිස්සුව
crazy	0.156	0.843	0.321	පිස්සු
creak	0.344	0.670	0.411	creak
creaking	0.302	0.743	0.415	creaking
cream	0.688	0.259	0.220	ක්රීම්
creamed	0.723	0.273	0.288	ක්‍රීම් කර ඇත
creamer	0.594	0.192	0.269	ක්‍රීමර්
creamy	0.823	0.337	0.345	ක්රීම් සහිත
crease	0.440	0.286	0.300	crease
create	0.786	0.588	0.789	නිර්මාණය කරනවා
creation	0.927	0.575	0.868	නිර්මාණය
creative	0.917	0.518	0.788	නිර්මාණශීලී
creativity	0.938	0.684	0.815	නිර්මාණශීලීත්වය
creator	0.865	0.592	0.856	නිර්මාතෘ
creature	0.669	0.625	0.620	සත්වයා
credence	0.760	0.460	0.737	විශ්වාසනීයත්වය
credential	0.735	0.337	0.597	අක්තපත්ර
credentials	0.708	0.373	0.675	අක්තපත්ර
credibility	0.875	0.427	0.809	විශ්වසනීයත්වය
credible	0.917	0.441	0.750	විශ්වසනීය
credit	0.673	0.549	0.648	ණය
credit card	0.670	0.550	0.640	ණයවර පත
creditable	0.802	0.510	0.742	ගෞරවනීය
credited	0.781	0.390	0.691	බැර කර ඇත
crediting	0.673	0.550	0.741	බැර කිරීම
creditor	0.479	0.594	0.689	ණයහිමියා
creed	0.573	0.245	0.544	ඇදහිල්ල
creek	0.552	0.392	0.330	ගංගාව
creep	0.354	0.647	0.361	බඩගා යනවා
creeper	0.429	0.558	0.366	ලපයා
creeping	0.292	0.613	0.282	බඩගාමින්
creepy	0.125	0.861	0.373	බඩගා යන
cremation	0.084	0.620	0.420	ආදාහනය
creole	0.667	0.357	0.523	ක්රියෝල්
crepe	0.562	0.224	0.349	ක්රේප්
crescendo	0.760	0.575	0.594	crescendo
crescent	0.698	0.382	0.407	අඩ සඳ
crest	0.458	0.333	0.333	ලාංඡනය
crestfallen	0.235	0.346	0.175	crestfallen
cretin	0.265	0.583	0.312	ක්රේටින්
cretins	0.094	0.741	0.328	ක්රේටින්ස්
crevice	0.361	0.471	0.275	විවරය
crew	0.604	0.598	0.735	කාර්ය මණ්ඩලය
crewman	0.602	0.580	0.548	කාර්ය මණ්ඩලය
crib	0.653	0.240	0.407	තොටිල්ල
cricket	0.423	0.539	0.370	ක්රිකට්
cried	0.167	0.612	0.254	ඇඬුවා
crime	0.071	0.943	0.630	අපරාධය
criminal	0.021	0.830	0.529	අපරාධ
criminality	0.122	0.863	0.580	අපරාධකාරීත්වය
crimp	0.260	0.557	0.396	crimp
crimson	0.667	0.385	0.370	තද රතු පාට
cringe	0.245	0.840	0.377	ගැහෙනවා
cripple	0.094	0.392	0.161	කොර වෙනවා
crippled	0.035	0.358	0.236	ආබාධිතයි
crippling	0.156	0.598	0.391	අඩපණ කරනවා
crisis	0.208	0.811	0.431	අර්බුදය
crisp	0.776	0.692	0.508	හැපෙනසුළු
crispy	0.656	0.550	0.509	හැපෙනසුළුයි
criterion	0.396	0.410	0.736	නිර්ණායකය
critic	0.264	0.604	0.686	විචාරක
critical	0.312	0.802	0.545	විවේචනාත්මක
criticise	0.073	0.700	0.452	විවේචනය කරනවා
criticism	0.115	0.563	0.505	විවේචනය
criticize	0.143	0.708	0.473	විවේචනය කරනවා
criticized	0.240	0.600	0.311	විවේචනය කළා
critique	0.302	0.760	0.537	විවේචනය
critter	0.542	0.539	0.482	සත්වයා
croak	0.337	0.346	0.298	කොකා
croc	0.327	0.452	0.451	කිඹුල
crock	0.385	0.412	0.421	මැටි
crockery	0.552	0.216	0.327	පිඟන් භාණ්ඩ
crocodile	0.344	0.708	0.610	කිඹුලා
croft	0.531	0.429	0.421	croft
croissant	0.745	0.330	0.430	croissant
crook	0.171	0.765	0.550	වංචනිකයා
crooked	0.146	0.594	0.305	වංක
crop	0.615	0.260	0.500	බෝග
croquet	0.551	0.519	0.407	ක්රොකට්
cross	0.448	0.321	0.569	හරස්
cross country	0.531	0.441	0.529	රට හරහා
crossbow	0.344	0.598	0.560	හරස් දුන්න
crossed	0.431	0.490	0.508	තරණය කළා
crossfire	0.316	0.896	0.722	හරස් වෙඩි තැබීම
crossing	0.549	0.349	0.451	හරස් කිරීම
crossover	0.559	0.550	0.500	හරස්කඩ
crosswalk	0.557	0.441	0.380	හරස් මාර්ගය
crossword	0.611	0.423	0.455	හරස්පද
crotch	0.521	0.637	0.447	කිඹුල
crouch	0.281	0.606	0.312	වකුටු වීම
crouched	0.333	0.363	0.279	වකුටු වී ඇත
crouching	0.261	0.429	0.345	වකුටු වෙමින්
croupier	0.531	0.519	0.404	croupier
crow	0.224	0.439	0.363	කපුටා
crowbar	0.406	0.531	0.386	කපුටන්
